id,long,lat,Mode,fid,h3,Commune,CodeCom
node/10077787877,-6.7918800100,34.0682830100,bus,5978,8839ab9327fffff,Bab Lamrissa,3
node/10077787878,-6.7919032100,34.0685468100,bus,5978,8839ab9327fffff,Bab Lamrissa,3
node/10077787879,-6.7942096100,34.0706112100,bus,5978,8839ab9327fffff,Bab Lamrissa,3
node/10077787880,-6.7940392100,34.0707615100,bus,5978,8839ab9327fffff,Bab Lamrissa,3
node/10077787881,-6.7954807100,34.0725506100,bus,5978,8839ab9327fffff,Bab Lamrissa,3
node/10077822208,-6.7834124100,34.0844876100,bus,5971,8839ab933dfffff,Layayda,7
node/10077822209,-6.7760158100,34.0887724100,bus,5977,8839ab9331fffff,Layayda,7
node/10077822210,-6.7758891100,34.0889360100,bus,5973,8839ab9339fffff,Layayda,7
node/10077822211,-6.7742871100,34.0876376100,bus,5977,8839ab9331fffff,Layayda,7
node/10077822212,-6.7741141100,34.0877835100,bus,5977,8839ab9331fffff,Layayda,7
node/10078039792,-6.7879059100,34.0333911100,bus,6065,8839ab9167fffff,Bettana,5
node/10078039793,-6.7877199100,34.0333932100,bus,6065,8839ab9167fffff,Bettana,5
node/10078039794,-6.7645668100,34.0255644100,bus,6096,8839ab9121fffff,Hssaine,6
node/10078039795,-6.7681741100,34.0246769100,bus,6096,8839ab9121fffff,Hssaine,6
node/10078039796,-6.7722347100,34.0220603100,bus,6096,8839ab9121fffff,Hssaine,6
node/10078039797,-6.7696641100,34.0208978100,bus,6096,8839ab9121fffff,Hssaine,6
node/10078039798,-6.7683098100,34.0166959100,bus,6093,8839ab9127fffff,Hssaine,6
node/10078039799,-6.7658435100,34.0156287100,bus,6093,8839ab9127fffff,Hssaine,6
node/10078039800,-6.7642799100,34.0173666100,bus,6093,8839ab9127fffff,Hssaine,6
node/10078039801,-6.7611175100,34.0203172100,bus,6095,8839ab9123fffff,Hssaine,6
node/10078039802,-6.7580881100,34.0228039100,bus,6095,8839ab9123fffff,Hssaine,6
node/10078039803,-6.7562683100,34.0245574100,bus,6095,8839ab9123fffff,Hssaine,6
node/10078226361,-6.7861857100,34.0363799100,bus,6065,8839ab9167fffff,Bettana,5
node/10078226362,-6.7864202100,34.0364861100,bus,6065,8839ab9167fffff,Bettana,5
node/10078226363,-6.7846574100,34.0453305100,bus,6063,8839ab916bfffff,Bettana,5
node/10078226364,-6.7843202100,34.0454233100,bus,6063,8839ab916bfffff,Bettana,5
node/10078226365,-6.7814330100,34.0470504100,bus,6063,8839ab916bfffff,Bettana,5
node/10078226366,-6.7813573100,34.0472865100,bus,6063,8839ab916bfffff,Tabriquet,9
node/10078226371,-6.7788731100,34.0468730100,bus,6063,8839ab916bfffff,Bettana,5
node/10078226373,-6.7757796100,34.0466150100,bus,6104,8839ab910dfffff,Bettana,5
node/10078226375,-6.7740415100,34.0478987100,bus,6104,8839ab910dfffff,Layayda,7
node/10078226376,-6.7741103100,34.0479269100,bus,6104,8839ab910dfffff,Tabriquet,9
node/10078226377,-6.7734817100,34.0524876100,bus,6079,8839ab9147fffff,Layayda,7
node/10078226378,-6.7735993100,34.0525467100,bus,6079,8839ab9147fffff,Tabriquet,9
node/10078226379,-6.7696907100,34.0584677100,bus,6081,8839ab9143fffff,Layayda,7
node/10078226380,-6.7677286100,34.0605181100,bus,6081,8839ab9143fffff,Layayda,7
node/10078226381,-6.7651882100,34.0632190100,bus,6081,8839ab9143fffff,Layayda,7
node/10078226382,-6.7632407100,34.0653013100,bus,6069,8839ab915dfffff,Layayda,7
node/10078226387,-6.7609148100,34.0682046100,bus,6069,8839ab915dfffff,Layayda,7
node/10078226388,-6.7610272100,34.0683194100,bus,6069,8839ab915dfffff,Layayda,7
node/10078226389,-6.7551382100,34.0749280100,bus,6071,8839ab9159fffff,Layayda,7
node/10078226390,-6.7550781100,34.0753749100,bus,6071,8839ab9159fffff,Layayda,7
node/10078284180,-6.8021475100,34.0360668100,bus,21762,8839a864b3fffff,Bettana,5
