fid,h3,population,surface_to,Province,Commune,CodeProv,CodeCom,pop_24,surf_comm,id,surface_in,pop_corr,Arrêts,classifica,long,lat
21540,8839a86cd9fffff,4438,794061.316,Skhirate- Témara,Témara,501,7,297098,794061.3157,node/21141275,406158.384,2270,0,Non desservi,-6.88604495,33.92570586
21535,8839a86ce5fffff,732,794333.529,Skhirate- Témara,Témara,501,7,297098,417070.922,node/21141275,381579.9393,352,2,Modérément desservi,-6.92052366,33.88397896
21537,8839a86ce1fffff,108,794288.289,Skhirate- Témara,Témara,501,7,297098,650124.8001,node/21141275,109933.4844,15,0,Non desservi,-6.91701595,33.89039434
21444,8839a86dd9fffff,235,794378.717,Skhirate- Témara,Témara,501,7,297098,170712.3004,node/21141275,42272.53035,13,0,Non desservi,-6.92535251,33.87928784
21597,8839a86c33fffff,280,794431.938,Skhirate- Témara,Témara,501,7,297098,794431.9381,node/21141275,220231.2386,78,0,Non desservi,-6.9254073,33.88351373
5533,8839ab9b6dfffff,1573,794068.725,Rabat,Agdal Riyad,421,1,70435,449834.2533,node/21141275,375358.3374,744,0,Non desservi,-6.87956499,33.94134177
5533,8839ab9b6dfffff,1573,794068.725,Skhirate- Témara,Témara,501,7,297098,344234.4831,node/21141275,344234.4831,682,4,Modérément desservi,-6.8838721,33.9403996
21409,8839a86ebbfffff,3444,794167.248,Rabat,Agdal Riyad,421,1,70435,136128.9051,node/21141275,29343.96825,127,0,Non desservi,-6.88834518,33.94470865
21409,8839a86ebbfffff,3444,794167.248,Skhirate- Témara,Témara,501,7,297098,658038.3293,node/21141275,478245.1733,2074,0,Non desservi,-6.89192313,33.94024827
21418,8839a86ea7fffff,17553,794402.214,Skhirate- Témara,Témara,501,7,297098,794402.214,node/21141275,794402.214,17553,10,Bien desservi,-6.91969327,33.92110265
21544,8839a86ccdfffff,20919,794349.192,Skhirate- Témara,Témara,501,7,297098,794349.1916,node/21141275,794349.1916,20919,10,Bien desservi,-6.91548385,33.91314596
21550,8839a86cc1fffff,8595,794250.743,Skhirate- Témara,Témara,501,7,297098,794250.7433,node/21141275,548779.3555,5939,4,Modérément desservi,-6.90633736,33.91269892
5548,8839ab9b49fffff,1817,793984.481,Rabat,Agdal Riyad,421,1,70435,670429.1248,node/21141275,670429.1248,1534,6,Modérément desservi,-6.8695703,33.97041164
5548,8839ab9b49fffff,1817,793984.481,Rabat,Souissi,421,6,21049,123555.3423,node/21141275,123555.3423,283,1,Peu desservi,-6.86410951,33.97112837
21741,8839a865a7fffff,4992,794083.042,Rabat,Agdal Riyad,421,1,70435,552066.8319,node/21141275,536337.5197,3372,4,Modérément desservi,-6.87613695,33.97116568
21741,8839a865a7fffff,4992,794083.042,Rabat,Yacoub El Mansour,421,9,168391,242016.2189,node/21141275,241896.7742,1521,0,Non desservi,-6.88097749,33.97238093
21548,8839a86cc5fffff,8862,794296.119,Skhirate- Témara,Témara,501,7,297098,794296.1192,node/21141275,375310.7154,4187,0,Non desservi,-6.91372068,33.906058
21423,8839a86e9bfffff,1863,794128.792,Rabat,Agdal Riyad,421,1,70435,402594.5894,node/21141275,402594.5894,944,5,Modérément desservi,-6.88154597,33.96394401
21423,8839a86e9bfffff,1863,794128.792,Rabat,Yacoub El Mansour,421,9,168391,391534.2042,node/21141275,391534.2042,919,1,Peu desservi,-6.88645994,33.96454594
5547,8839ab9b4bfffff,1761,793885.884,Rabat,Agdal Riyad,421,1,70435,39188.59974,node/21141275,12488.68287,28,0,Non desservi,-6.85786652,33.96517837
5547,8839ab9b4bfffff,1761,793885.884,Rabat,Souissi,421,6,21049,754697.2957,node/21141275,287115.7223,637,0,Non desservi,-6.86150046,33.9708851
21755,8839a86583fffff,9560,793998.127,Rabat,Agdal Riyad,421,1,70435,54155.17505,node/21141275,54155.17505,652,2,Modérément desservi,-6.8600119,33.99999506
21755,8839a86583fffff,9560,793998.127,Rabat,Hassan,421,5,92454,2335.803241,node/21141275,2335.803241,28,0,Non desservi,-6.86057254,34.00378907
21755,8839a86583fffff,9560,793998.127,Rabat,Yacoub El Mansour,421,9,168391,737507.1507,node/21141275,737507.1507,8880,14,Bien desservi,-6.86493408,34.00063059
21776,8839a86491fffff,13437,793530.035,Salé,Bab Lamrissa,441,3,167319,772827.9993,node/21141275,759091.2009,12854,8,Bien desservi,-6.80672809,34.05792898
21776,8839a86491fffff,13437,793530.035,Salé,Tabriquet,441,9,237385,20702.05666,node/21141275,20702.05666,351,0,Non desservi,-6.80256432,34.05480537
6076,8839ab914dfffff,15721,793384.818,Salé,Bab Lamrissa,441,3,167319,101843.1387,node/21141275,101843.1387,2018,0,Non desservi,-6.79404886,34.06624855
6076,8839ab914dfffff,15721,793384.818,Salé,Tabriquet,441,9,237385,691541.6738,node/21141275,691541.6738,13703,5,Modérément desservi,-6.79052206,34.06359408
21771,8839a8649bfffff,14190,793483.618,Salé,Bab Lamrissa,441,3,167319,776046.9699,node/21141275,776046.9699,13878,8,Bien desservi,-6.80079397,34.06495903
21771,8839a8649bfffff,14190,793483.618,Salé,Tabriquet,441,9,237385,17436.66899,node/21141275,17436.66899,312,0,Non desservi,-6.79663378,34.06187075
6079,8839ab9147fffff,32695,793233.582,Salé,Layayda,441,7,229838,277087.485,node/21141275,277087.485,11421,4,Modérément desservi,-6.77297047,34.05580009
6079,8839ab9147fffff,32695,793233.582,Salé,Tabriquet,441,9,237385,516146.0973,node/21141275,516146.0973,21274,6,Modérément desservi,-6.7775797,34.05488101
6082,8839ab9141fffff,28905,793285.981,Salé,Layayda,441,7,229838,230702.7556,node/21141275,230702.7556,8406,1,Peu desservi,-6.77721912,34.06331413
6082,8839ab9141fffff,28905,793285.981,Salé,Tabriquet,441,9,237385,562583.2282,node/21141275,562583.2282,20499,11,Bien desservi,-6.78214718,34.06288208
5975,8839ab9335fffff,3843,793291.793,Salé,Bab Lamrissa,441,3,167319,11087.19149,node/21141275,11087.19149,54,0,Non desservi,-6.78324231,34.0757488
5975,8839ab9335fffff,3843,793291.793,Salé,Layayda,441,7,229838,782204.615,node/21141275,757284.5049,3669,5,Modérément desservi,-6.77873776,34.07851135
6069,8839ab915dfffff,16509,793140.587,Salé,Layayda,441,7,229838,793140.5866,node/21141275,793140.5866,16509,7,Bien desservi,-6.76443438,34.06936281
6077,8839ab914bfffff,13147,793239.477,Salé,Layayda,441,7,229838,714931.1577,node/21141275,714931.1577,11849,5,Modérément desservi,-6.77290803,34.07007876
6077,8839ab914bfffff,13147,793239.477,Salé,Tabriquet,441,9,237385,78308.33172,node/21141275,78308.33172,1298,1,Peu desservi,-6.77840982,34.06912306
6078,8839ab9149fffff,14497,793338.331,Salé,Bab Lamrissa,441,3,167319,219368.844,node/21141275,219368.844,4009,2,Modérément desservi,-6.78776378,34.07238352
6078,8839ab9149fffff,14497,793338.331,Salé,Layayda,441,7,229838,90221.33914,node/21141275,90221.33914,1649,0,Non desservi,-6.78096263,34.07285922
6078,8839ab9149fffff,14497,793338.331,Salé,Tabriquet,441,9,237385,483748.1389,node/21141275,483748.1389,8840,0,Non desservi,-6.78435921,34.06955337
6081,8839ab9143fffff,23377,793187.11,Salé,Layayda,441,7,229838,793187.1097,node/21141275,793187.1097,23377,13,Bien desservi,-6.77038627,34.06219731
5551,8839ab9b43fffff,1533,793833.057,Rabat,Agdal Riyad,421,1,70435,442108.7091,node/21141275,437594.0285,845,4,Modérément desservi,-6.85550512,33.9609294
5551,8839ab9b43fffff,1533,793833.057,Rabat,Souissi,421,6,21049,351724.3512,node/21141275,330198.3004,638,0,Non desservi,-6.85071882,33.96255251
5573,8839ab9b09fffff,643,793780.181,Rabat,Agdal Riyad,421,1,70435,380080.1348,node/21141275,17945.591,15,0,Non desservi,-6.85363492,33.95649232
21739,8839a865abfffff,27205,794089.95,Rabat,Yacoub El Mansour,421,9,168391,794089.95,node/21141275,794089.95,27205,10,Bien desservi,-6.8763951,33.98647895
21744,8839a865a1fffff,26788,794135.785,Rabat,Yacoub El Mansour,421,9,168391,794135.7845,node/21141275,794135.7845,26788,8,Bien desservi,-6.88233636,33.97930351
21753,8839a86587fffff,24938,794044.064,Rabat,Agdal Riyad,421,1,70435,2958.518709,node/21141275,2958.518709,93,0,Non desservi,-6.86590546,33.99083716
21753,8839a86587fffff,24938,794044.064,Rabat,Yacoub El Mansour,421,9,168391,791085.5552,node/21141275,791085.5552,24845,18,Très bien desservi,-6.87045307,33.99365381
