id,long,lat,Mode,fid,h3,Commune,CodeCom,CodeProv,Province
node/10076042734,-6.82423391,34.04377181,bus,21777,8839a86487fffff,Bab Lamrissa,3,441,Salé
node/10076042735,-6.82446931,34.05201311,bus,21778,8839a86483fffff,Bab Lamrissa,3,441,Salé
node/10076042736,-6.82716891,34.04913141,bus,21778,8839a86483fffff,Bab Lamrissa,3,441,Salé
node/10076042737,-6.81638021,34.05774181,bus,21770,8839a8649dfffff,Bab Lamrissa,3,441,Salé
node/10076042738,-6.81420801,34.05502871,bus,21770,8839a8649dfffff,Bab Lamrissa,3,441,Salé
node/10076042739,-6.79971931,34.06228481,bus,21771,8839a8649bfffff,Bab Lamrissa,3,441,Salé
node/10076042740,-6.79951521,34.06226351,bus,21771,8839a8649bfffff,Bab Lamrissa,3,441,Salé
node/10076042741,-6.80466261,34.06145171,bus,21776,8839a86491fffff,Bab Lamrissa,3,441,Salé
node/10076042742,-6.80480041,34.06131351,bus,21776,8839a86491fffff,Bab Lamrissa,3,441,Salé
node/10076042743,-6.80299011,34.06368221,bus,21771,8839a8649bfffff,Bab Lamrissa,3,441,Salé
node/10076042744,-6.80125041,34.06643421,bus,21771,8839a8649bfffff,Bab Lamrissa,3,441,Salé
node/10076042745,-6.79781621,34.06996961,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10076042746,-6.79343131,34.07467371,bus,5978,8839ab9327fffff,Bab Lamrissa,3,441,Salé
node/10076042748,-6.78803711,34.08007191,bus,5980,8839ab9323fffff,Layayda,7,441,Salé
node/10076047715,-6.80658131,34.03999891,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10076047716,-6.80633001,34.04001321,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10076090317,-6.80661831,34.04356191,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10076090318,-6.80685451,34.04360361,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10076090319,-6.80803581,34.04592381,bus,21758,8839a864bbfffff,Tabriquet,9,441,Salé
node/10076090320,-6.80730931,34.04835371,bus,21773,8839a86497fffff,Tabriquet,9,441,Salé
node/10076090321,-6.80113561,34.05579501,bus,21775,8839a86493fffff,Tabriquet,9,441,Salé
node/10076090322,-6.79539861,34.06001371,bus,21775,8839a86493fffff,Tabriquet,9,441,Salé
node/10076090323,-6.79033081,34.05934401,bus,6076,8839ab914dfffff,Tabriquet,9,441,Salé
node/10076090324,-6.78017911,34.06436301,bus,6082,8839ab9141fffff,Layayda,7,441,Salé
node/10076090325,-6.77672041,34.06980531,bus,6077,8839ab914bfffff,Tabriquet,9,441,Salé
node/10076090326,-6.76865571,34.07288631,bus,5974,8839ab9337fffff,Layayda,7,441,Salé
node/10076090327,-6.76588881,34.07635261,bus,5974,8839ab9337fffff,Layayda,7,441,Salé
node/10076848820,-6.83310581,34.02121611,bus,21766,8839a864a7fffff,Hassan,5,421,Rabat
node/10076848821,-6.80333261,34.03181091,bus,21762,8839a864b3fffff,Bettana,5,441,Salé
node/10076848822,-6.80313491,34.03190211,bus,21762,8839a864b3fffff,Bettana,5,441,Salé
node/10076848823,-6.79617841,34.03380861,bus,6066,8839ab9165fffff,Bettana,5,441,Salé
node/10076848824,-6.79638891,34.03374671,bus,6066,8839ab9165fffff,Bettana,5,441,Salé
node/10076848825,-6.76365751,34.02736351,bus,6091,8839ab912bfffff,Hssaine,6,441,Salé
node/10076848826,-6.76338521,34.02759761,bus,6091,8839ab912bfffff,Hssaine,6,441,Salé
node/10076848827,-6.76085361,34.02649091,bus,6095,8839ab9123fffff,Hssaine,6,441,Salé
node/10076848828,-6.76070841,34.02679031,bus,6095,8839ab9123fffff,Hssaine,6,441,Salé
